
Using Forward Euler method:

      i    xi          x                       y                       z                       

      0    0.000000    1                       1                       1                       
      1    0.010000    1.0                     1.11                    0.98                    
      2    0.020000    1.0055                  1.218                   0.9617                  
      3    0.030000    1.0161250000000002      1.3247401065            0.94509599              
      4    0.040000    1.031555755325          1.4308994477416124      0.9302041257071731      
      5    0.050000    1.0515229399458308      1.5371036903372772      0.9170585275420502      
      6    0.060000    1.075801977465403       1.6439317473331139      0.905709769630439       
      7    0.070000    1.1042084659587885      1.7519217456198264      0.8962239267875171      
      8    0.080000    1.1365941299418405      1.8615763154681242      0.8886820772159987      
      9    0.090000    1.1728432392181547      1.9733672590271372      0.8831801820255171      
     10    0.100000    1.2128694402086038      2.087739648282135       0.8798292810471959      
     11    0.110000    1.2566129506122803      2.2051153964698686      0.8787559588009126      
     12    0.120000    1.3040380729051597      2.325896340443621       0.880103045684871       
     13    0.130000    1.3551309862820828      2.4504668650449424      0.8840305281300175      
     14    0.140000    1.4098977802202257      2.579196094208652       0.8907166480829162      
     15    0.150000    1.468362695919647       2.7124396673059374      0.9003591771202032      
     16    0.160000    1.5305665444889616      2.850541113102447       0.9131768540306444      
     17    0.170000    1.5965652729196358      2.993832827649043       0.9294109770237744      
     18    0.180000    1.6664286506561061      3.142636656402946       0.9493271429685738      
     19    0.190000    1.7402390509434482      3.2972640748678588      0.9732171263078364      
     20    0.200000    1.8180903021396688      3.458015956020106       1.001400889562181       
     21    0.210000    1.9000865848336908      3.625181906740587       1.0342287156181595      
     22    0.220000    1.9863413509290355      3.7990391494005338      1.0720834492354108      
     23    0.230000    2.0769762408526105      3.979850918673959       1.115382831320874       
     24    0.240000    2.172119974743678       4.167864337618761       1.1645819043834602      
     25    0.250000    2.2719071928874324      4.363307731163138       1.2201754610495918      
     26    0.260000    2.3764772198012176      4.566387329478682       1.282700499410213       
     27    0.270000    2.485972725285091       4.777283308494519       1.3527386390808567      
     28    0.280000    2.600538254445562       4.996145110252599       1.430918439967202       
     29    0.290000    2.720318597235914       5.223085982248663       1.5179175516079162      
     30    0.300000    2.845456966486551       5.4581766727696195      1.6144646043844113      
     31    0.310000    2.9760929518007044      5.7014382190654285      1.7213407346313458      
     32    0.320000    3.1123602151639407      5.95283376765638        1.8393806135812834      
     33    0.330000    3.254383892788563       6.212259372003662       1.9694728250332267      
     34    0.340000    3.4022776667493178      6.479533723163258       2.112559408662965       
     35    0.350000    3.556140469570015       6.754386785087146       2.26963435517575        
     36    0.360000    3.7160527853458714      7.036447329309536       2.4417408064562505      
     37    0.370000    3.8820725125440547      7.325229395422523       2.629966679232765       
     38    0.380000    4.054230356687978       7.620117745726677       2.835438395696277       
     39    0.390000    4.232524726139913       7.920352436564956       3.059312370688007       
     40    0.400000    4.416916111661165       8.225012696954018       3.302763874842404       
     41    0.410000    4.607320940925808       8.533000388929462       3.5669728695950704      
     42    0.420000    4.803604913325991       8.84302342490249        3.853106397315646       
